d0_date,version_key,version_label_ko,candidate_count,green_count,yellow_count,orange_count,red_count,avg_traffic_score,avg_max_up,avg_max_down,avg_d1_close,avg_lunch_1200,best_rank1_light,green_rate,red_rate
2025-08-14,V2,기존 V2 기록후보,3,1,0,0,2,-2.333333333333333,5.85686550660358,-6.269191227219842,-0.2433137205822129,0.054942039618433,🔴,0.3333333333333333,0.6666666666666666
2025-08-18,V2,기존 V2 기록후보,3,1,0,0,2,-1.3333333333333333,8.813710879284649,-4.2421500093576485,3.1940334404003345,2.9469378367268337,🔴,0.3333333333333333,0.6666666666666666
2025-08-19,V2,기존 V2 기록후보,3,0,0,0,3,-10.0,10.560389645636349,-8.683670045418944,-2.2451625614791197,-4.377535562196041,🔴,0.0,1.0
2025-08-20,V2,기존 V2 기록후보,3,1,0,0,2,0.0,6.463075659494422,-4.405564621125979,1.3351988844298817,0.6858030168348036,🔴,0.3333333333333333,0.6666666666666666
2025-08-21,V2,기존 V2 기록후보,3,1,0,0,2,1.6666666666666667,6.437441390498651,-6.864280140353959,0.7069841639678277,0.7397451078400766,🔴,0.3333333333333333,0.6666666666666666
2025-08-22,V2,기존 V2 기록후보,3,2,0,0,1,1.3333333333333333,4.018085067195698,-6.381059838446439,1.919352299850822,1.378771873737657,🔴,0.6666666666666666,0.3333333333333333
2025-08-25,V2,기존 V2 기록후보,3,0,0,0,3,-12.333333333333334,2.904626372639363,-11.717163392386402,-6.576935495361884,-5.411295821752049,🔴,0.0,1.0
2025-08-26,V2,기존 V2 기록후보,3,1,0,0,2,-0.3333333333333333,13.862953700625363,-3.91422175193595,0.5636225661407573,2.177880669777928,🔴,0.3333333333333333,0.6666666666666666
2025-08-27,V2,기존 V2 기록후보,3,2,0,0,1,1.0,9.656906745519414,-3.379191947487159,-0.403762905135611,0.2753194791084342,🟢,0.6666666666666666,0.3333333333333333
2025-08-28,V2,기존 V2 기록후보,3,1,0,0,2,1.6666666666666667,26.31961083524593,-3.7047052959961615,7.962938692296496,8.133194682878106,🔴,0.3333333333333333,0.6666666666666666
2025-08-29,V2,기존 V2 기록후보,3,1,0,0,2,-2.0,19.067116220086632,-8.84536690840888,0.7235202726115334,3.148305815584469,🟢,0.3333333333333333,0.6666666666666666
2025-09-01,V2,기존 V2 기록후보,3,2,0,0,1,3.333333333333333,30.29014025539041,-5.035238294606104,-2.479380364245339,-1.4960574977321877,🟢,0.6666666666666666,0.3333333333333333
2025-09-02,V2,기존 V2 기록후보,3,3,0,0,0,7.0,33.53748842949707,-1.7067777434948066,8.986938187802119,9.466385546299158,🟢,1.0,0.0
2025-09-03,V2,기존 V2 기록후보,3,2,0,0,1,5.333333333333333,34.83573766912233,-4.604548819721798,5.238589521517345,2.1537177989287706,🟢,0.6666666666666666,0.3333333333333333
2025-09-04,V2,기존 V2 기록후보,3,1,0,0,2,-3.6666666666666665,30.448294895969312,-4.947750238447909,3.684839804025852,-0.5698996687368804,🟢,0.3333333333333333,0.6666666666666666
2025-09-05,V2,기존 V2 기록후보,3,2,0,0,1,5.666666666666667,26.35534252768972,-3.5812153263253115,11.251509001856526,6.196318925416225,🟢,0.6666666666666666,0.3333333333333333
2025-09-08,V2,기존 V2 기록후보,3,1,0,0,2,-4.333333333333333,25.85561121793897,-2.730229218602742,1.0395820982681176,4.340886865493165,🟢,0.3333333333333333,0.6666666666666666
2025-09-09,V2,기존 V2 기록후보,3,1,0,0,2,-0.6666666666666666,19.586890668780484,-4.3137722218747605,-0.1639212527266583,-1.9751718840058736,🔴,0.3333333333333333,0.6666666666666666
2025-09-10,V2,기존 V2 기록후보,3,1,0,0,2,3.6666666666666665,10.22679920994866,-5.4255656111540445,0.0881425565042892,0.0364886087514504,🔴,0.3333333333333333,0.6666666666666666
2025-09-11,V2,기존 V2 기록후보,3,1,0,0,2,-4.666666666666667,7.462947525785002,-10.91113770556899,-0.1662564811263589,-0.9318578337012032,🔴,0.3333333333333333,0.6666666666666666
2025-09-12,V2,기존 V2 기록후보,3,0,0,0,3,-4.0,6.135637743431599,-12.654939143973332,-0.844962984609828,-1.3762065902922984,🔴,0.0,1.0
2025-09-15,V2,기존 V2 기록후보,3,0,0,0,3,-7.333333333333333,2.8008490169830687,-11.964310490761406,-4.994717576637719,-4.495787301678796,🔴,0.0,1.0
2025-09-16,V2,기존 V2 기록후보,3,1,0,0,2,-4.666666666666667,4.1416152465461415,-4.26398748217035,-2.6386898335932254,-1.597099106230963,🟢,0.3333333333333333,0.6666666666666666
2025-09-17,V2,기존 V2 기록후보,3,2,0,0,1,3.6666666666666665,9.85550427215746,-1.3047009399354288,5.308814761903046,5.668199597235472,🟢,0.6666666666666666,0.3333333333333333
2025-09-18,V2,기존 V2 기록후보,3,1,0,0,2,-0.3333333333333333,5.770093992922335,-4.284948619897899,-1.074880332986472,-1.145551051329034,🔴,0.3333333333333333,0.6666666666666666
2025-09-19,V2,기존 V2 기록후보,3,0,0,0,3,-5.333333333333333,3.193829503127409,-8.757115749525619,-1.775599128540306,-1.51697238034999,🔴,0.0,1.0
2025-09-22,V2,기존 V2 기록후보,3,1,0,0,2,-5.333333333333333,8.233120496573646,-5.843757515773056,-0.1804578851526515,-1.1617258490062898,🔴,0.3333333333333333,0.6666666666666666
2025-09-23,V2,기존 V2 기록후보,3,1,0,0,2,-2.0,8.011822357545617,-7.458985995897527,-1.2936377457279822,-1.079717646845524,🔴,0.3333333333333333,0.6666666666666666
2025-09-24,V2,기존 V2 기록후보,3,0,0,0,3,-5.666666666666667,5.82654015093976,-11.758548564061025,-2.8086129469142094,-1.6534857357508443,🔴,0.0,1.0
2025-09-25,V2,기존 V2 기록후보,3,0,0,0,3,-0.3333333333333333,8.618880632295278,-7.888821023293858,4.300838798471026,3.6748420528239865,🔴,0.0,1.0
2025-09-26,V2,기존 V2 기록후보,3,0,0,0,3,-2.6666666666666665,4.048268010798636,-10.175642705575328,-0.3331344321872061,-0.2192110521071007,🔴,0.0,1.0
2025-09-29,V2,기존 V2 기록후보,3,0,0,0,3,-3.0,5.609095313032902,-17.301212534111816,-3.1410147378458824,-0.6677641558080261,🔴,0.0,1.0
2025-09-30,V2,기존 V2 기록후보,3,0,0,0,3,-13.0,1.2099057586402913,-13.281536440222904,-7.29445215794049,-5.470233006036058,🔴,0.0,1.0
2025-10-01,V2,기존 V2 기록후보,3,0,0,0,3,-1.6666666666666667,7.101313009250816,-6.729073533620351,-0.6764856826578791,0.3749195011043205,🔴,0.0,1.0
2025-10-02,V2,기존 V2 기록후보,3,3,0,0,0,7.0,31.141587054769214,2.2281406925253044,11.7354790831275,11.225163573576204,🟢,1.0,0.0
2025-10-10,V2,기존 V2 기록후보,3,1,0,0,2,-1.6666666666666667,12.925167510647125,-5.1692031539122825,4.889666247552609,5.569745097359335,🔴,0.3333333333333333,0.6666666666666666
2025-10-13,V2,기존 V2 기록후보,3,0,0,0,3,-2.0,7.251385382436777,-6.25602531087844,-2.5845901930705573,-0.7012703513833246,🔴,0.0,1.0
2025-10-14,V2,기존 V2 기록후보,3,2,0,0,1,6.0,10.031215845075574,-1.9600781428988503,5.544931355119768,4.482954243114912,🔴,0.6666666666666666,0.3333333333333333
2025-10-15,V2,기존 V2 기록후보,3,1,0,0,2,-3.6666666666666665,25.74829475309785,-9.501289669491593,-4.711442054940966,-3.991451408543778,🔴,0.3333333333333333,0.6666666666666666
2025-10-16,V2,기존 V2 기록후보,3,2,0,0,1,-0.6666666666666666,29.256842362504035,-4.688356522882859,3.887281121187447,3.1515176934596787,🔴,0.6666666666666666,0.3333333333333333
2025-10-17,V2,기존 V2 기록후보,3,3,0,0,0,6.0,24.44316493458054,-0.34798324917484,13.61893042304243,12.596836599146664,🟢,1.0,0.0
2025-10-20,V2,기존 V2 기록후보,3,1,0,0,2,-5.666666666666667,19.17553222474085,-6.862529512662256,-3.633759024786084,-2.076899316801084,🔴,0.3333333333333333,0.6666666666666666
2025-10-21,V2,기존 V2 기록후보,3,1,0,0,2,1.3333333333333333,13.293736255842353,-6.034693787698672,3.1025172229212603,2.2144864869875143,🔴,0.3333333333333333,0.6666666666666666
2025-10-22,V2,기존 V2 기록후보,3,0,0,0,3,-3.0,9.89270598345106,-8.574973157803282,-2.731833759073928,-0.7814889531845318,🔴,0.0,1.0
2025-10-23,V2,기존 V2 기록후보,3,2,0,0,1,1.3333333333333333,18.95777146454616,-3.997115795392159,-0.3931647186342017,-1.0982383303411132,🟢,0.6666666666666666,0.3333333333333333
2025-10-24,V2,기존 V2 기록후보,3,2,0,0,1,2.0,16.139266660128957,-4.234093219030507,4.846716411961741,9.274293706362668,🟢,0.6666666666666666,0.3333333333333333
2025-10-27,V2,기존 V2 기록후보,3,1,0,0,2,-2.333333333333333,12.234827973747464,-4.896166596271497,3.018368868749144,-0.1490813777726936,🟢,0.3333333333333333,0.6666666666666666
2025-10-28,V2,기존 V2 기록후보,3,2,0,0,1,1.3333333333333333,8.354807127102193,-6.326317848140431,4.543724511832237,4.057977801481223,🟢,0.6666666666666666,0.3333333333333333
2025-10-29,V2,기존 V2 기록후보,3,0,0,0,3,-8.666666666666666,3.196679182296247,-10.868601455477018,-4.415912840209746,-3.2176333576102425,🔴,0.0,1.0
2025-10-30,V2,기존 V2 기록후보,3,2,0,0,1,-1.6666666666666667,12.216231907843364,-5.025221893193618,-2.319971340775895,-1.4367844813875728,🟢,0.6666666666666666,0.3333333333333333
2025-10-31,V2,기존 V2 기록후보,3,2,0,0,1,6.0,15.158587264108414,-0.8342337372038857,9.08597659419646,10.19485223538586,🟢,0.6666666666666666,0.3333333333333333
2025-11-03,V2,기존 V2 기록후보,3,1,0,0,2,-0.3333333333333333,11.826226510527476,-5.854367680975336,5.18889353484511,3.868008559078592,🟢,0.3333333333333333,0.6666666666666666
2025-11-04,V2,기존 V2 기록후보,3,0,0,0,3,-11.0,8.426969181746953,-12.045123922402054,-3.2850505986216967,-4.797095085271978,🔴,0.0,1.0
2025-11-05,V2,기존 V2 기록후보,3,0,0,0,3,-1.0,17.89190157205917,-8.37480209435797,-1.4102605470800331,0.0944676768458996,🔴,0.0,1.0
2025-11-06,V2,기존 V2 기록후보,3,0,0,0,3,-10.0,11.864141908619382,-7.42655238673698,-3.925300105720552,-4.056101403137029,🔴,0.0,1.0
2025-11-07,V2,기존 V2 기록후보,3,1,0,0,2,-0.6666666666666666,14.161303077436031,-5.3332472937835895,4.649382085315545,3.8543367450524,🔴,0.3333333333333333,0.6666666666666666
2025-11-10,V2,기존 V2 기록후보,3,1,0,0,2,1.6666666666666667,6.693046219135201,-6.573227148729185,-0.3336271382876916,0.0528194353061691,🔴,0.3333333333333333,0.6666666666666666
2025-11-11,V2,기존 V2 기록후보,3,1,0,0,2,-0.3333333333333333,13.606764474844228,-5.63592126560778,2.4552040597833966,5.635932450096018,🔴,0.3333333333333333,0.6666666666666666
2025-11-12,V2,기존 V2 기록후보,3,1,0,0,2,-0.6666666666666666,17.130672272577886,-4.9086271249122495,-0.3311115949965508,-2.0104598399158715,🟢,0.3333333333333333,0.6666666666666666
2025-11-13,V2,기존 V2 기록후보,3,1,0,0,2,-5.666666666666667,13.551319528767744,-9.14915305159679,-1.8029661555630423,-0.4214624190786109,🔴,0.3333333333333333,0.6666666666666666
2025-11-14,V2,기존 V2 기록후보,3,1,0,0,2,-4.0,10.922028403120732,-16.41421830927122,-5.900994275790642,-5.680283701047114,🟢,0.3333333333333333,0.6666666666666666
2025-11-17,V2,기존 V2 기록후보,3,1,0,0,2,-5.666666666666667,7.766089478642413,-11.94104854405978,-3.5147780951378302,-2.143002837377376,🟢,0.3333333333333333,0.6666666666666666
2025-11-18,V2,기존 V2 기록후보,3,0,0,0,3,-11.333333333333334,3.983147169005941,-16.418324808081227,-5.960002267799768,-3.648958845431253,🔴,0.0,1.0
