model_name,signal_date,selected_count,d1_plus13_success_count,d5_plus13_touch_count,d5_minus2_touch_count,avg_ret_d5_close,avg_cum_d5_mfe_pct,avg_cum_d5_mae_pct,d1_plus13_touch_count,cum_d1_plus13_touch_count,d2_plus13_touch_count,cum_d2_plus13_touch_count,d3_plus13_touch_count,cum_d3_plus13_touch_count,d4_plus13_touch_count,cum_d4_plus13_touch_count,cum_d5_plus13_touch_count
EOD_FUNDAMENTAL_TOP3,2026-02-25,3,1,1,3,9.325764934884209,31.390716051369335,-22.03679341331217,2,2,2,2,2,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-26,3,0,0,3,-12.877925893205031,6.042736322893386,-25.58447077246872,1,1,1,1,0,1,0,1,1
EOD_FUNDAMENTAL_TOP3,2026-02-27,3,0,0,3,-24.953240052276147,6.748338418422722,-34.63148328923761,1,1,0,1,0,1,0,1,1
EOD_FUNDAMENTAL_TOP3,2026-03-03,3,0,1,3,-17.497284945064983,-4.288611857299829,-27.52498560239847,0,0,1,1,1,1,0,1,1
EOD_FUNDAMENTAL_TOP3,2026-03-04,3,1,2,2,0.6885115319739677,19.176816470468495,-12.844838799142694,3,3,3,3,2,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-05,3,0,1,3,-15.2658486390113,17.365839674002938,-15.970714928021557,3,3,2,3,2,3,0,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-06,3,1,2,3,-5.415545376323016,15.472022540017036,-12.942483518529832,2,2,2,3,2,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-09,3,0,2,3,-3.920766641936224,5.984097418379471,-21.83580014725874,0,0,0,0,0,0,2,2,2
EOD_FUNDAMENTAL_TOP3,2026-03-10,3,1,1,2,-0.05450223628991443,19.072797351687893,-6.9157719070824415,3,3,1,3,2,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-11,3,1,2,3,9.91355280146019,22.153607905721216,-5.284578770441327,3,3,2,3,3,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-12,3,0,2,3,10.801976140000184,18.6849152669876,-7.16925664180386,3,3,3,3,3,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-13,3,1,3,2,32.49709109427142,51.67653121561341,-2.102122441602746,3,3,3,3,3,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-16,3,1,2,2,0.22227495649422804,20.778699076529836,-6.597812251515593,3,3,3,3,2,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-17,3,2,3,2,0.47002211496340135,21.954635833667865,-9.380525849612154,2,2,2,2,2,2,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-18,3,1,0,3,-8.836838425876314,7.548414881498155,-13.215438036096328,3,3,2,3,1,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-19,3,1,1,3,-11.32066225499239,11.017240049018044,-13.022799791693856,3,3,1,3,2,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-20,3,0,0,3,-13.794329544962713,4.407317263594468,-19.74379924094914,2,2,2,2,0,2,0,2,2
EOD_FUNDAMENTAL_TOP3,2026-03-23,3,0,1,3,-14.623255255301522,15.277075411429058,-21.425869662916217,3,3,2,3,2,3,0,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-24,3,0,1,3,-21.096728194028817,14.858970298751219,-23.487532791729965,2,2,1,2,1,2,1,2,2
EOD_FUNDAMENTAL_TOP3,2026-03-25,3,1,1,2,-1.6773645925268876,15.45904314134252,-13.165103245416894,3,3,2,3,1,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-26,3,1,3,3,-1.9352355501902252,15.446229119299824,-9.976495622316802,2,2,2,2,2,2,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-27,3,1,0,3,-14.022328342016417,4.340618554918126,-18.71472017486428,1,1,1,1,0,1,1,1,1
EOD_FUNDAMENTAL_TOP3,2026-03-30,3,0,2,3,-8.090690039427658,13.308939698039376,-16.246124682993308,2,2,2,3,3,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-03-31,3,2,2,3,-4.028708190719265,13.608257181437187,-11.047441765161926,2,2,2,2,2,2,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-01,3,0,0,3,-15.535834752850546,14.734300139649804,-22.13169436643494,3,3,2,3,2,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-02,3,1,1,2,-2.125130830640368,19.184638756929473,-15.551732531844317,2,2,2,2,1,2,1,2,2
EOD_FUNDAMENTAL_TOP3,2026-04-03,3,0,1,3,3.5406496494847546,12.865210747136542,-14.227380925620965,1,1,1,1,1,1,1,1,1
EOD_FUNDAMENTAL_TOP3,2026-04-06,3,0,3,3,20.70138499863948,27.891210077503857,-10.954197270608772,2,2,2,2,1,2,2,2,3
EOD_FUNDAMENTAL_TOP3,2026-04-07,3,1,3,2,18.251374184255464,30.50201645525509,-6.904847492845737,3,3,2,3,3,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-08,3,0,3,3,12.71873130849181,24.10834817684837,-7.222941397934098,2,2,3,3,2,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-09,3,2,3,2,10.457400849456985,17.038641959946556,-3.2315919950904437,3,3,2,3,3,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-10,3,1,2,3,2.669713792423508,20.527465294333467,-10.186273326619828,2,2,2,2,3,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-13,3,0,2,3,2.9423618874658826,25.756333711109022,-12.564157906831229,3,3,3,3,2,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-14,3,0,1,3,-11.780001522251888,12.038312025824142,-15.814497978800263,2,2,2,2,2,2,2,2,2
EOD_FUNDAMENTAL_TOP3,2026-04-15,3,1,2,3,-1.1664768752968402,9.363870830157742,-9.171641854381699,2,2,1,2,0,2,2,2,2
EOD_FUNDAMENTAL_TOP3,2026-04-16,3,0,1,3,-7.731953442831288,11.79880409646717,-14.877675365453024,1,1,3,3,2,3,0,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-17,3,0,1,3,-11.220933648682125,5.1031299223935385,-17.59687057643358,1,1,1,1,0,1,1,2,2
EOD_FUNDAMENTAL_TOP3,2026-04-20,3,0,1,3,8.765557453921524,22.662524203975224,-12.975942140419283,3,3,1,3,1,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-21,3,1,2,2,4.109572406180175,20.674313228462026,-12.87661322490557,2,2,2,2,2,3,2,3,3
