signal_date,strategy,strategy_label,buy_day,selected_stock_count,capital_return_h5_close_pct,equity_h5_close,cum_return_h5_close_pct,drawdown_pct,selected_stock_names,recent20_risk_state,no_trade_bad_day
2025-07-23,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,4.751131221719462,1.5331612821301615,53.31612821301614,-6.8299033057700465,삼성전자 | 두산에너빌리티,False,False
2025-07-24,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,4.197963003476012,1.5975228255376042,59.752282553760416,-2.9186571162434505,삼성전자 | 두산에너빌리티,False,False
2025-07-25,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-0.5828564507826925,1.5882115606962324,58.821156069623235,-3.4845019857478787,삼성전자 | 두산에너빌리티,False,False
2025-07-28,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,0.47868122758645826,1.5958140312916431,59.581403129164315,-3.022500415042073,삼성전자 | 두산에너빌리티,False,False
2025-07-29,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-0.6910809407322971,1.584785664671855,58.4785664671855,-3.692693431472449,삼성전자 | 두산에너빌리티,False,False
2025-07-30,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-1.1382280557834243,1.5667471896125262,56.67471896125262,-4.78889021460478,삼성전자 | 두산에너빌리티,False,False
2025-07-31,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-0.19152618172625924,1.563746458542958,56.37464585429579,-4.971244417755938,삼성전자 | 두산에너빌리티,False,False
2025-08-01,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,5.826182122207035,1.6548531751472333,65.48531751472333,0.0,삼성전자 | 두산에너빌리티,False,False
2025-08-04,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,4.783452777722119,1.7340122953210364,73.40122953210364,0.0,삼성전자 | 두산에너빌리티,False,False
2025-08-05,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,1.3737148834099377,1.7578326803020197,75.78326803020197,0.0,삼성전자 | 두산에너빌리티,False,False
2025-08-06,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,2.2901285206453403,1.7980893078588407,79.80893078588407,0.0,삼성전자 | 두산에너빌리티,False,False
2025-08-07,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,1.0777481761603647,1.8174681825800236,81.74681825800236,0.0,삼성전자 | 두산에너빌리티,False,False
2025-08-08,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,0.1202367739548682,1.819653447690414,81.96534476904141,0.0,삼성전자 | 카카오,False,False
2025-08-11,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-0.3091620836653486,1.814027769176046,81.4027769176046,-0.3091620836653486,삼성전자 | 카카오,False,False
2025-08-12,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-6.741573033707865,1.6917337622653015,69.17337622653015,-7.029892729710374,삼성전자 | 두산에너빌리티,False,False
2025-08-13,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-4.560792224463601,1.61457730037728,61.45773003772801,-11.27006615316921,삼성전자 | 두산에너빌리티,False,False
2025-08-14,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-2.8054923799604614,1.5692804572466241,56.92804572466241,-13.759377685986006,삼성전자 | 두산에너빌리티,False,False
2025-08-18,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,1.3541516780689045,1.5905308948920365,59.05308948920365,-12.591548851743728,삼성전자 | 두산에너빌리티,False,False
2025-08-19,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,3.1766001037530467,1.6410557009494011,64.1055700949401,-9.814931901879298,삼성전자 | 두산에너빌리티,False,False
2025-08-20,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,4.24505785421857,1.710719464874655,71.07194648746551,-5.986523585247672,삼성전자 | 두산에너빌리티,False,False
2025-08-21,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-0.013468167187891122,1.71048906231701,71.048906231701,-5.999185477430357,삼성전자 | 두산에너빌리티,False,False
