window_id,window_label,strategy,strategy_label,signal_days,buy_days,no_trade_days,selected_stock_exposure_count,avg_selected_stock_count_on_buy_days,avg_ret_h5_close,median_ret_h5_close,h5_close_win_rate,h5_close_loss_rate,avg_d1_open_return,avg_ret_d1_close,avg_d1_1500_return,d1_plus1_touch_rate,d1_plus13_touch_rate,d1_plus2_touch_rate,d1_minus2_touch_rate,d1_plus13_before_minus2_rate,d1_minus2_before_plus13_rate,d1_fast_fail_rate,h5_plus2_touch_rate,h5_minus2_touch_rate,cum_d5_plus13_touch_rate,cum_d5_minus2_touch_rate,cum_d5_plus13_before_minus2_rate,cum_d5_minus2_before_plus13_rate,cum_d5_same_day_ambiguous_rate,avg_h5_mfe_pct,avg_h5_mae_pct,avg_cum_d5_mfe_pct,avg_cum_d5_mae_pct,avg_exit_13_m2_pct,avg_exit_20_m2_pct,exit_13_m2_win_rate,exit_20_m2_win_rate,h5_close_total_return_equity_pct,h5_close_mdd_pct,max_losing_streak_buy_days,hit_best_of_top3_rate,hit_worst_of_top3_rate,recent20_risk_state_days,bad_day_filter_days,window_signal_date_min,window_signal_date_max
RECENT_20_SIGNAL_DAYS,최근 20 신호일,MECHANICAL_TOP3,Bell Watch top3 equal weight,20,20,0,60,3.0,2.808355315098793,1.4717388512464973,55.00000000000001,45.0,1.144507191161976,0.7953023413847895,0.7853852367917339,73.33333333333333,70.0,63.33333333333334,73.33333333333333,51.66666666666667,46.666666666666664,30.0,81.66666666666667,83.33333333333333,86.66666666666666,83.33333333333333,26.666666666666668,30.0,43.33333333333334,17.697316284310194,-10.582450695406607,18.048658910913296,-10.610488078584176,-0.26749999999999996,-0.09999999999999995,50.0,40.0,48.57121278207466,-51.042424543163165,5,33.33333333333333,33.33333333333333,13,10,2026-04-20,2026-05-19
RECENT_20_SIGNAL_DAYS,최근 20 신호일,HUMAN_PROXY_A,Pre-outcome checklist proxy picks one from top3,20,20,0,20,1.0,8.141024740656217,-1.2016275393712306,45.0,55.00000000000001,0.9763918564728733,2.7970559628188605,3.0100544911076277,70.0,70.0,70.0,65.0,50.0,50.0,30.0,85.0,75.0,85.0,75.0,35.0,30.0,35.0,24.10453958097567,-11.057475193050411,24.749793008478782,-11.057475193050411,-0.35,0.0,50.0,50.0,179.8464935622091,-66.76123415669204,5,35.0,35.0,13,10,2026-04-20,2026-05-19
RECENT_20_SIGNAL_DAYS,최근 20 신호일,HUMAN_PROXY_RISK_OFF,"Human proxy, but no-trade on recent20 risk state",20,7,13,7,1.0,-4.770410428413543,-14.764079147640796,28.57142857142857,71.42857142857143,0.6495876146892492,-1.047052510177249,-0.741604247963593,71.42857142857143,71.42857142857143,71.42857142857143,85.71428571428571,42.857142857142854,57.14285714285714,28.57142857142857,71.42857142857143,100.0,71.42857142857143,100.0,14.285714285714285,28.57142857142857,57.14285714285714,14.146194483531307,-18.187751568877836,14.146194483531309,-18.187751568877836,-0.5857142857142857,-0.2857142857142857,42.857142857142854,42.857142857142854,-38.19029304135852,-56.749844728788766,4,14.285714285714285,57.14285714285714,13,10,2026-04-20,2026-05-19
RECENT_20_SIGNAL_DAYS,최근 20 신호일,NO_TRADE_BAD_DAY_FILTER,"Top3 equal weight, but skips weak/risk days",20,10,10,30,3.0,4.975847776506505,1.413676448867061,50.0,50.0,1.180332627177584,0.8400273204637145,1.164317901651024,80.0,73.33333333333334,63.33333333333333,76.66666666666666,53.333333333333336,43.33333333333334,26.66666666666667,80.0,83.33333333333333,86.66666666666666,83.33333333333333,23.333333333333332,26.66666666666667,50.0,20.72912048930076,-10.225602120833091,20.72912048930076,-10.22560212083309,-0.18499999999999997,-0.06666666666666665,50.0,40.0,43.26023580131315,-37.01798264781383,3,33.333333333333336,33.333333333333336,13,10,2026-04-20,2026-05-19
RECENT_20_SIGNAL_DAYS,최근 20 신호일,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,20,20,0,20,1.0,18.566611557556012,12.474944022523603,75.0,25.0,0.8563857197270686,3.7156409059496545,3.9067550473277297,85.0,85.0,75.0,60.0,60.0,35.0,15.0,95.0,65.0,100.0,65.0,40.0,15.0,45.0,30.963738579145,-6.567548059577414,31.814988055621342,-6.567548059577414,0.0842105263157895,0.3157894736842105,60.0,55.00000000000001,1915.9449880771122,-32.917874530314194,4,100.0,0.0,13,10,2026-04-20,2026-05-19
RECENT_20_SIGNAL_DAYS,최근 20 신호일,WORST_OF_TOP3_ORACLE,Post-outcome worst of top3; manual error floor reference,20,20,0,20,1.0,-10.062263988993953,-8.680654738719092,0.0,95.0,0.45949680122352676,-3.6094443939880243,-3.5559569828938846,55.00000000000001,45.0,40.0,85.0,30.0,70.0,55.00000000000001,55.00000000000001,100.0,65.0,100.0,15.0,55.00000000000001,30.0,5.4628822054659185,-15.540674540327831,5.537648560606106,-15.624786689860542,-1.01,-1.0,30.0,25.0,-88.55008052607886,-87.65357619280162,13,0.0,100.0,13,10,2026-04-20,2026-05-19
RECENT_60_SIGNAL_DAYS,최근 60 신호일,MECHANICAL_TOP1,Bell Watch rank 1 only,60,60,0,60,1.0,4.09546351500343,0.9547576546891645,50.0,50.0,0.6819097870849086,0.025166054011605966,0.4187562390560433,83.33333333333334,80.0,71.66666666666667,75.0,55.00000000000001,43.333333333333336,20.0,91.66666666666666,85.0,95.0,85.0,25.0,20.0,55.00000000000001,18.636995818014462,-11.415208852105808,18.852080293848832,-11.41520885210581,-0.15423728813559323,-0.06286475200973235,55.00000000000001,48.333333333333336,304.2557323665731,-67.22712572510518,5,46.666666666666664,31.666666666666664,43,33,2026-02-20,2026-05-19
RECENT_60_SIGNAL_DAYS,최근 60 신호일,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,60,60,0,120,2.0,2.8873502822716888,2.2409897645740777,56.666666666666664,43.333333333333336,0.9744450400274905,0.6551367180727485,0.8365553070116615,81.66666666666667,79.16666666666666,72.5,69.16666666666667,59.166666666666664,40.0,20.833333333333336,90.0,84.16666666666667,91.66666666666666,84.16666666666667,30.833333333333336,20.833333333333336,48.333333333333336,18.08352478814384,-11.14704834303301,18.203528085251055,-11.161067034621794,-0.01999999999999998,0.11909149692854827,40.0,31.666666666666664,246.2906025634342,-52.244292610249786,6,37.5,34.166666666666664,43,33,2026-02-20,2026-05-19
RECENT_60_SIGNAL_DAYS,최근 60 신호일,MECHANICAL_TOP3,Bell Watch top3 equal weight,60,60,0,180,3.0,2.6490648647184063,1.69251502805348,63.33333333333333,36.666666666666664,0.9346235429679272,0.17188398631926205,0.27450643288295395,77.77777777777779,73.88888888888889,67.77777777777779,69.99999999999999,57.22222222222223,42.22222222222223,26.111111111111114,87.77777777777777,83.33333333333334,89.44444444444444,83.33333333333334,29.999999999999993,26.111111111111114,43.888888888888886,17.38354879951634,-10.64383312048605,17.500663008384038,-10.653178914878573,-0.10249999999999998,0.09050544239681003,53.333333333333336,45.0,228.0722837414149,-51.04242454316318,5,33.33333333333332,33.33333333333332,43,33,2026-02-20,2026-05-19
RECENT_60_SIGNAL_DAYS,최근 60 신호일,HUMAN_PROXY_A,Pre-outcome checklist proxy picks one from top3,60,60,0,60,1.0,5.961102978286282,-0.6830938642974627,45.0,55.00000000000001,1.4996089944391753,1.6359507392315982,1.7629774887997507,75.0,73.33333333333333,68.33333333333333,70.0,56.666666666666664,43.333333333333336,26.666666666666668,90.0,83.33333333333334,90.0,83.33333333333334,30.0,26.666666666666668,43.333333333333336,21.259886255140866,-11.411074547946516,21.474970730975237,-11.411074547946518,-0.13,0.13333333333333333,56.666666666666664,53.333333333333336,748.0169641475277,-66.76123415669204,6,40.0,26.666666666666668,43,33,2026-02-20,2026-05-19
