strategy_key,strategy_label,strategy_family,group_type,rows,signal_days,date_min,date_max,horizon,direction,threshold_pct,eligible_rows,single_day_touch_rate_pct,cum_touch_rate_pct,close_at_horizon_rate_pct,close_at_horizon_avg_pct,close_at_horizon_median_pct
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+3,minus,-3.0,828,40.94202898550724,55.55555555555556,29.830917874396135,1.1259539605347402,0.592007461395816
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+4,plus,1.0,828,63.40579710144928,88.88888888888889,50.1207729468599,1.8021605334149213,1.1182222766617622
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+4,plus,1.3,828,61.83574879227053,87.43961352657004,48.792270531400966,1.8021605334149213,1.1182222766617622
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+4,plus,2.0,828,58.574879227053145,82.0048309178744,44.32367149758454,1.8021605334149213,1.1182222766617622
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+4,plus,3.0,828,53.01932367149759,73.06763285024155,40.09661835748793,1.8021605334149213,1.1182222766617622
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+4,minus,-1.0,828,51.20772946859904,77.65700483091787,42.149758454106276,1.8021605334149213,1.1182222766617622
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+4,minus,-2.0,828,46.256038647343,69.80676328502415,35.748792270531396,1.8021605334149213,1.1182222766617622
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+4,minus,-3.0,828,40.21739130434783,59.05797101449275,30.555555555555557,1.8021605334149213,1.1182222766617622
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+5,plus,1.0,828,64.00966183574879,90.57971014492753,52.41545893719807,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+5,plus,1.3,828,62.80193236714976,89.25120772946859,49.8792270531401,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+5,plus,2.0,828,59.54106280193236,85.14492753623189,46.85990338164252,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+5,plus,3.0,828,54.95169082125604,77.89855072463769,42.028985507246375,2.540833104908452,1.2846050979165136
