v3_variant,signal_date,eod_count,v3_count,overlap_count,eod_only_count,v3_only_count,overlap_codes,eod_only_codes,v3_only_codes
V3_D_V2_CONFIRM,2025-12-11,3,3,0,3,3,,098460|466100|950250,002790|003230|003530
V3_D_V2_CONFIRM,2025-12-12,3,3,1,2,2,249420,098460|950250,051900|440110
V3_D_V2_CONFIRM,2025-12-15,3,3,1,2,2,466100,098460|950250,003230|353200
V3_D_V2_CONFIRM,2025-12-16,3,3,1,2,2,466100,030530|950250,003530|377300
V3_D_V2_CONFIRM,2025-12-17,3,3,0,3,3,,030530|319400|466100,034230|035420|377300
V3_D_V2_CONFIRM,2025-12-18,3,3,1,2,2,466100,030530|950250,035420|042660
V3_D_V2_CONFIRM,2025-12-19,3,3,0,3,3,,030530|466100|950250,011790|012510|062040
V3_D_V2_CONFIRM,2025-12-22,3,3,0,3,3,,030530|466100|950250,000650|012510|034220
V3_D_V2_CONFIRM,2025-12-23,3,3,1,2,2,319400,030530|478340,062040|267270
V3_D_V2_CONFIRM,2025-12-24,3,3,1,2,2,030530,466100|478340,010130|062040
V3_D_V2_CONFIRM,2025-12-26,3,3,0,3,3,,030530|319400|478340,009540|010130|267260
V3_D_V2_CONFIRM,2025-12-29,3,3,0,3,3,,030530|466100|478340,000650|030000|326030
V3_D_V2_CONFIRM,2025-12-30,3,3,1,2,2,030530,090710|478340,010130|016360
V3_D_V2_CONFIRM,2026-01-02,3,3,0,3,3,,090710|466100|478340,002380|009540|010130
V3_D_V2_CONFIRM,2026-01-05,3,3,0,3,3,,030530|466100|478340,009540|010130|017960
V3_D_V2_CONFIRM,2026-01-06,3,3,1,2,2,034020,466100|478340,010130|353200
V3_D_V2_CONFIRM,2026-01-07,3,3,1,2,2,034020,030530|478340,000150|353200
V3_D_V2_CONFIRM,2026-01-08,3,3,1,2,2,034020,030530|478340,000150|010130
V3_D_V2_CONFIRM,2026-01-09,3,3,1,2,2,034020,030530|486990,000150|003670
V3_D_V2_CONFIRM,2026-01-12,3,3,0,3,3,,030530|034020|272210,018880|021240|066570
V3_D_V2_CONFIRM,2026-01-13,3,3,3,0,0,000720|034020|272210,,
V3_D_V2_CONFIRM,2026-01-14,3,3,1,2,2,272210,000720|034020,098460|128940
V3_D_V2_CONFIRM,2026-01-15,3,3,2,1,1,034020|272210,000720,098460
V3_D_V2_CONFIRM,2026-01-16,3,3,0,3,3,,000720|034020|272210,001450|005690|092200
V3_D_V2_CONFIRM,2026-01-19,3,3,1,2,2,034020,000720|272210,000100|138930
V3_D_V2_CONFIRM,2026-01-20,3,3,1,2,2,034020,000720|272210,128820|175330
V3_D_V2_CONFIRM,2026-01-21,3,3,1,2,2,015760,034020|272210,000100|128940
V3_D_V2_CONFIRM,2026-01-22,3,3,0,3,3,,000720|034020|272210,000100|015760|021240
V3_D_V2_CONFIRM,2026-01-23,3,3,1,2,2,034020,090710|272210,092200|249420
V3_D_V2_CONFIRM,2026-01-26,3,3,1,2,2,272210,034020|090710,006800|021240
V3_D_V2_CONFIRM,2026-01-27,3,3,2,1,1,034020|272210,090710,006800
V3_D_V2_CONFIRM,2026-01-28,3,3,1,2,2,034020,006800|377300,100090|272210
V3_D_V2_CONFIRM,2026-01-29,3,3,1,2,2,006800,034020|377300,080220|180640
V3_D_V2_CONFIRM,2026-01-30,3,3,1,2,2,034020,015760|377300,011070|207940
V3_D_V2_CONFIRM,2026-02-02,3,3,0,3,3,,015760|034020|377300,080220|207940|329180
