signal_date,active_variant,selected_count,eod_count,v2_count,human_count,eod_only_count,all_eod_only_day,source_freshness,fallback_blocked_operational,latest20_all_eod_only_day_rate_pct
2025-11-13,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-11-14,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2025-11-17,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2025-11-18,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2025-11-19,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2025-11-20,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2025-11-21,V3_C_RISK_CONTROL,3,0,3,3,0,False,PASS,False,0.0
2025-11-24,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2025-11-25,V3_C_RISK_CONTROL,3,1,1,3,0,False,PASS,False,0.0
2025-11-26,V3_C_RISK_CONTROL,3,2,1,2,0,False,PASS,False,0.0
2025-11-27,V3_C_RISK_CONTROL,3,2,1,1,2,False,PASS,False,0.0
2025-11-28,V3_C_RISK_CONTROL,3,1,3,1,0,False,PASS,False,0.0
2025-12-01,V3_C_RISK_CONTROL,3,1,3,2,0,False,PASS,False,0.0
2025-12-02,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2025-12-03,V3_C_RISK_CONTROL,3,1,1,2,1,False,PASS,False,0.0
2025-12-04,V3_C_RISK_CONTROL,3,0,2,3,0,False,PASS,False,0.0
2025-12-05,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-12-08,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2025-12-09,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2025-12-10,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-12-11,V3_C_RISK_CONTROL,3,1,3,1,0,False,PASS,False,0.0
2025-12-12,V3_C_RISK_CONTROL,3,0,3,0,0,False,PASS,False,0.0
2025-12-15,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2025-12-16,V3_C_RISK_CONTROL,3,1,3,1,0,False,PASS,False,0.0
2025-12-17,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
2025-12-18,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2025-12-19,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2025-12-22,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2025-12-23,V3_C_RISK_CONTROL,3,1,1,3,0,False,PASS,False,0.0
2025-12-24,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-12-26,V3_C_RISK_CONTROL,3,2,3,1,0,False,PASS,False,0.0
2025-12-29,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2025-12-30,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2026-01-02,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2026-01-05,V3_C_RISK_CONTROL,3,0,3,0,0,False,PASS,False,0.0
2026-01-06,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2026-01-07,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-01-08,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-01-09,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2026-01-12,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2026-01-13,V3_C_RISK_CONTROL,3,2,1,2,0,False,PASS,False,0.0
2026-01-14,V3_C_RISK_CONTROL,3,3,2,1,1,False,PASS,False,0.0
2026-01-15,V3_C_RISK_CONTROL,3,3,2,1,1,False,PASS,False,0.0
2026-01-16,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
2026-01-19,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2026-01-20,V3_C_RISK_CONTROL,3,2,3,0,0,False,PASS,False,0.0
2026-01-21,V3_C_RISK_CONTROL,3,2,1,1,1,False,PASS,False,0.0
2026-01-22,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2026-01-23,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
2026-01-26,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2026-01-27,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
