signal_date,rank,stock_code,stock_name,active_variant,compare_variant,active_route,fallback_route,v3_total_score,v3_grade,entry_1500_price,source_freshness,stale_sources,fallback_used,fallback_reason,operational_allowed,consensus_sources,in_eod_active_top3,in_v2_hybrid_top3,in_human_proxy_top3,consensus_score,rank_score,path_score,risk_control_score,market_condition_score,liquidity_score,manual_proxy_score,complete_d1,complete_d5,h1_plus1_touch,h1_minus2_touch,h5_plus1_touch,h5_plus2_touch,h5_plus3_touch,h5_minus1_touch,h5_minus2_touch,h5_minus3_touch,ret_d1_close_pct,ret_d5_close_pct
2025-12-09,1,099440,스맥,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,59.076951,B,7870.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,85.513006,80.0,50.0,65.0,50.0,True,True,False,True,False,False,False,True,True,True,-8.767471410419315,-10.16518424396442
2025-12-09,2,319400,현대무벡스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,55.181387,B,10680.0,PASS,,False,,True,V2,False,True,False,25.0,10.0,77.8759125,85.0,50.0,65.0,50.0,True,True,True,True,True,True,True,True,True,True,-0.6554307116104829,11.423220973782765
2025-12-09,3,012610,경인양행,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,54.117568,C,3990.0,PASS,,False,,True,Human,False,False,True,20.0,12.0,67.0,85.0,50.0,55.0,92.351351,True,True,True,True,True,True,True,True,True,True,-8.1453634085213,-11.027568922305765
2025-12-10,1,466100,클로봇,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,79.83694,A,51700.0,PASS,,False,,True,"EOD,V2,Human",True,True,True,100.0,19.0,95.56608525,85.0,50.0,75.0,87.040541,True,True,True,True,True,True,True,True,True,True,-0.5802707930367523,21.083172147001928
2025-12-10,2,039860,나노엔텍,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,56.311486,B,4225.0,PASS,,False,,True,Human,False,False,True,20.0,8.0,86.0,85.0,50.0,55.0,87.22973,True,True,True,False,True,True,True,True,True,True,0.0,0.2366863905325367
2025-12-10,3,319400,현대무벡스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,55.394648,B,10590.0,PASS,,False,,True,V2,False,True,False,25.0,5.0,82.6309875,85.0,50.0,65.0,50.0,True,True,True,True,True,True,True,True,True,True,-2.9272898961284266,16.902738432483467
2025-12-11,1,466100,클로봇,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,67.172266,B,51700.0,PASS,,False,,True,"EOD,V2",True,True,False,65.0,15.0,84.4817705,85.0,50.0,75.0,50.0,True,True,True,False,True,True,True,True,False,False,26.112185686653767,23.210831721470026
2025-12-11,2,128820,대성산업,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,61.584741,B,7720.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,17.0,68.25297125,85.0,50.0,65.0,92.935897,True,True,True,False,True,True,True,True,True,True,4.922279792746109,52.97927461139898
2025-12-11,3,064260,다날,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,59.618327,B,7180.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,79.12217875,85.0,50.0,65.0,50.0,True,True,True,False,True,True,True,True,True,True,1.392757660167132,-3.4818941504178302
2025-12-12,1,319400,현대무벡스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,59.876924,B,11240.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,90.84616125,80.0,50.0,65.0,50.0,True,True,True,True,True,True,True,True,True,False,3.6476868327402157,20.9964412811388
2025-12-12,2,009070,KCTC,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,57.974592,B,6830.0,PASS,,False,,True,V2,False,True,False,25.0,10.0,96.49728325,85.0,50.0,65.0,50.0,True,True,True,True,True,True,True,True,True,True,-2.7818448023426035,-7.759882869692536
2025-12-12,3,064260,다날,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,55.611739,B,7290.0,PASS,,False,,True,V2,False,True,False,25.0,5.0,84.0782605,85.0,50.0,65.0,50.0,True,True,False,True,True,True,True,True,True,True,-3.017832647462282,1.6460905349794164
2025-12-15,1,466100,클로봇,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,67.706311,B,66100.0,PASS,,False,,True,"EOD,V2",True,True,False,65.0,20.0,84.70874025,85.0,50.0,75.0,50.0,True,True,False,True,True,True,True,True,True,True,-3.479576399394857,4.53857791225416
2025-12-15,2,006340,대원전선,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,59.027475,B,4060.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,75.18316625,85.0,50.0,65.0,50.0,True,True,True,True,True,True,True,True,True,True,-0.8620689655172376,-3.078817733990147
2025-12-15,3,319400,현대무벡스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,57.436111,B,11720.0,PASS,,False,,True,Human,False,False,True,20.0,8.0,90.0,85.0,50.0,65.0,87.722222,True,True,True,True,True,True,True,True,True,False,1.5358361774743923,37.627986348122874
2025-12-16,1,466100,클로봇,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,65.738027,B,64000.0,PASS,,False,,True,"EOD,V2",True,True,False,65.0,25.0,68.25351625,85.0,50.0,75.0,50.0,True,True,True,True,True,True,True,True,True,True,-2.187499999999998,3.281249999999991
2025-12-16,2,003310,대주산업,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,64.582427,B,2235.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,13.0,94.2351165,85.0,50.0,55.0,92.943182,True,True,True,True,True,True,True,True,True,False,5.592841163310958,18.791946308724828
2025-12-16,3,006340,대원전선,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,60.817516,B,4020.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,87.11677424999999,85.0,50.0,65.0,50.0,True,True,True,False,True,True,True,True,True,True,-1.4925373134328401,-6.094527363184077
2025-12-17,1,466100,클로봇,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,65.079928,B,62700.0,PASS,,False,,True,"EOD,V2",True,True,False,65.0,20.0,77.199517,80.0,50.0,75.0,50.0,True,True,True,True,True,True,True,True,True,False,1.594896331738438,6.2200956937799035
2025-12-17,2,319400,현대무벡스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,59.395455,B,12310.0,PASS,,False,,True,"EOD,Human",True,False,True,40.0,9.0,66.0,85.0,50.0,75.0,86.909091,True,True,True,True,True,True,True,True,True,False,10.479285134037376,50.93419983753047
