d0_date,stock_code,stock_name,market,sector,industry,stock_type,d0_open,d0_high,d0_low,d0_close,d0_volume,d0_prev_close,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_volume_rank,d0_value_rank,signal_date,trading_day_age,duplicate_active_event_dropped,signal_prev_close,entry_1500_available,entry_1500_price,entry_1500_dt,signal_volume_to_1500,rsi14_signal_1500,signal_minute_rows_to_1500,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,pool_f_base,pool_f_refined_d0,pool_signal_balanced,daily3_active_score,entry_price_1500,signal_trading_value_to_1500_eok,source_universe,selection_feature_scope,weak_volume,deep_d0_high_gap,deep_d0_close_gap,old_watch_age,weak_signal_day,candidate_weak_flag_count,candidate_weak,proxy_rank_d0_high_hold,proxy_rank_d0_close_hold,proxy_rank_volume_retention,proxy_rank_signal_strength,proxy_rank_fresh_age,proxy_rank_low_risk,human_proxy_score,source_model_key,source_model_label,source_rank
2026-03-13,321370,센서뷰,KOSDAQ,전자부품 제조업,"T&M 케이블, 초소형 전송선로",COMMON,3509,4102,3360,3772,24915447,3519.0,7.189542483660127,939.81066084,2.7676721695311253,3.491632080326879,0.444743935309973,0.20080862533692723,22.083333333333332,10.0,77.0,2026-03-16,1,False,3772.0,True,4600.0,2026-03-16 15:00:00,41444222.0,68.91025641025641,358,21.95121951219512,21.95121951219512,12.140419307654792,166.33946804165302,False,False,False,32.0,4600.0,1906.434212,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9436619718309859,0.9436619718309859,0.9154929577464789,0.971830985915493,0.8802816901408451,0.8873239436619719,92.65493,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2026-03-16,003280,흥아해운,KOSPI,해상 운송업,외항화물운송업(케미컬탱커),COMMON,2460,3035,2460,3035,222445549,2335.0,29.978586723768743,6751.22241215,4.542428828566285,5.486601427304411,0.0,0.0,23.3739837398374,1.0,5.0,2026-03-17,1,False,3035.0,True,3645.0,2026-03-17 15:00:00,310325550.0,68.42105263157895,358,20.098846787479395,20.098846787479395,20.098846787479395,139.50629778616067,False,False,False,49.0,3645.0,11311.3662975,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,1.0,0.9850746268656716,0.8955223880597015,0.9701492537313433,0.9104477611940298,0.8582089552238806,94.358209,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
2026-03-16,027360,아주IB투자,KOSDAQ,기타 금융업,,COMMON,6020,6950,5940,6330,21406119,5940.0,6.565656565656575,1355.0073327,2.299442955897185,2.686177425642528,0.6138613861386139,0.07920792079207921,17.003367003367003,17.0,38.0,2026-03-17,1,False,6330.0,True,7490.0,2026-03-17 15:00:00,44768638.0,45.12195121951219,357,18.325434439178512,18.325434439178512,7.7697841726618755,209.1394427920353,False,False,False,38.0,7490.0,3353.1709862,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9402985074626866,0.9701492537313433,0.9552238805970149,0.9552238805970149,0.9104477611940298,0.8582089552238806,93.626866,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
2026-03-16,242040,나무기술,KOSDAQ,소프트웨어 개발 및 공급업,응용소프트웨어 개발 및 공급업,COMMON,4950,6390,4950,6390,14213701,4920.0,29.87804878048781,908.2554939,1.7788249128781086,2.547255751494434,0.0,0.0,29.09090909090909,22.0,61.0,2026-03-17,1,False,6390.0,True,6900.0,2026-03-17 15:00:00,24071515.0,47.05882352941176,359,7.9812206572769995,7.9812206572769995,7.9812206572769995,169.35430821289964,False,False,True,48.0,6900.0,1660.934535,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9701492537313433,0.8955223880597015,0.9253731343283582,0.8955223880597015,0.9104477611940298,0.8582089552238806,91.507463,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2026-03-17,047040,대우건설,KOSPI,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",COMMON,12230,12910,12030,12110,15508959,11980.0,1.085141903171949,1878.1349349,0.569071891633983,0.7266809542678185,0.7727272727272727,0.09090909090909091,7.315045719035744,21.0,28.0,2026-03-18,1,False,12110.0,True,14730.0,2026-03-18 15:00:00,108357432.0,55.81395348837209,358,21.635012386457465,21.635012386457465,14.097598760650666,698.6763715088807,False,False,False,40.0,14730.0,15961.0497336,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9848484848484849,0.9848484848484849,0.9545454545454546,1.0,0.8560606060606061,0.8409090909090909,94.507576,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
2026-03-17,032820,우리기술,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","시스템사업, 정보통신사업",COMMON,25100,25450,23500,24100,21411173,24000.0,0.4166666666666652,5160.092693,0.5234866944295009,0.7183120023453589,0.1794871794871795,0.3076923076923077,8.297872340425531,14.0,7.0,2026-03-18,1,False,24100.0,True,28800.0,2026-03-18 15:00:00,72172388.0,55.357142857142854,360,19.50207468879668,19.50207468879668,13.163064833005889,337.07816008025344,False,False,False,55.0,28800.0,20785.647744,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9696969696969697,0.9696969696969697,0.9242424242424242,0.9848484848484849,0.8560606060606061,0.8409090909090909,93.128788,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
2026-03-17,001510,SK증권,KOSPI,금융 지원 서비스업,"증권업,부동산 임대",COMMON,3568,3744,3464,3464,13191971,3458.0,0.1735106998264957,456.96987544,0.2695856417276233,0.26179453366745237,0.6285714285714286,0.0,8.083140877598153,25.0,134.0,2026-03-18,1,False,3464.0,True,3754.0,2026-03-18 15:00:00,134875692.0,64.70588235294119,360,8.371824480369504,8.371824480369504,0.26709401709401615,1022.4074325208871,False,False,False,25.0,3754.0,5063.23347768,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.8636363636363636,0.9090909090909091,0.9848484848484849,0.8939393939393939,0.8560606060606061,0.8409090909090909,89.431818,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2026-03-18,001510,SK증권,KOSPI,금융 지원 서비스업,"증권업,부동산 임대",COMMON,3520,3974,3516,3764,70224357,3464.0,8.660508083140872,2643.24479748,1.425227197248442,1.4996687099155739,0.4585152838427948,0.008733624454148471,13.026166097838454,3.0,18.0,2026-03-19,1,False,3764.0,True,4305.0,2026-03-19 15:00:00,351426323.0,50.0,359,14.373007438894803,14.373007438894803,8.329139406139907,500.43366434811213,False,False,False,45.0,4305.0,15128.90320515,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9850746268656716,0.9701492537313433,0.9850746268656716,0.9552238805970149,0.8955223880597015,0.9253731343283582,95.731343,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
2026-03-17,037030,파워넷,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치,COMMON,2940,3775,2940,3470,14302920,2905.0,19.449225473321864,496.311324,34.975698075115396,42.08560287237395,0.3652694610778443,0.0,28.401360544217685,23.0,121.0,2026-03-19,2,False,3360.0,True,4025.0,2026-03-19 15:00:00,17461600.0,58.0952380952381,358,19.791666666666675,15.994236311239195,6.62251655629138,122.08416183548533,False,False,False,24.75,4025.0,702.8294,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9701492537313433,0.9850746268656716,0.9552238805970149,0.9701492537313433,0.6940298507462687,0.9253731343283582,92.335821,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
2026-03-18,047040,대우건설,KOSPI,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",COMMON,12320,15350,12310,14870,112090190,12110.0,22.791081750619323,16667.811253,4.167416833266701,6.426038462351716,0.15789473684210525,0.003289473684210526,24.69536961819659,1.0,4.0,2026-03-19,1,False,14870.0,True,16010.0,2026-03-19 15:00:00,74762356.0,61.53846153846153,360,7.666442501681248,7.666442501681248,4.2996742671009835,66.69839349902075,False,False,True,69.0,16010.0,11969.4531956,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9552238805970149,0.9253731343283582,0.8656716417910447,0.8805970149253731,0.8955223880597015,0.9253731343283582,91.0,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2026-03-19,046120,오르비텍,KOSDAQ,기타 과학기술 서비스업,"방사선안전관리, 항공기 정밀부품 제조 등",COMMON,9940,12000,9790,10980,14202668,9920.0,10.685483870967749,1559.4529464,1.9458759816281885,2.814688273815537,0.46153846153846156,0.06787330316742081,22.57405515832482,24.0,33.0,2026-03-20,1,False,10980.0,True,13630.0,2026-03-20 15:00:00,17038985.0,49.48453608247423,360,24.134790528233154,24.134790528233154,13.583333333333325,119.97031121194976,False,False,False,47.0,13630.0,2322.4136555,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9857142857142858,0.9857142857142858,0.9285714285714286,0.9857142857142858,0.8928571428571429,0.8642857142857143,94.692857,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
