signal_date,policy_key,policy_label_ko,candidate_n,fill_pass_rate_pct,d5_profit_first_rate_pct,d5_loss_first_rate_pct,dplus1_G_count,dplus1_Y_count,dplus1_O_count,dplus1_R_count,dplus1_X_count,dplus2_G_count,dplus2_Y_count,dplus2_O_count,dplus2_R_count,dplus2_X_count,dplus3_G_count,dplus3_Y_count,dplus3_O_count,dplus3_R_count,dplus3_X_count,dplus4_G_count,dplus4_Y_count,dplus4_O_count,dplus4_R_count,dplus4_X_count,dplus5_G_count,dplus5_Y_count,dplus5_O_count,dplus5_R_count,dplus5_X_count
2026-05-07,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,0,3,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,2,1,0,0,1,1,0,1
2026-05-07,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,33.3333,66.6667,0,0,2,1,0,2,0,1,0,0,0,0,3,0,0,0,1,1,1,0,0,1,2,0,0
2026-05-08,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,15,100.0,40.0,60.0,3,4,5,3,0,1,6,6,2,0,2,6,6,1,0,1,4,7,2,1,1,0,13,1,0
2026-05-08,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,66.6667,33.3333,1,0,1,1,0,0,1,2,0,0,0,0,1,2,0,1,1,0,0,1,0,0,3,0,0
2026-05-08,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,100.0,0.0,1,0,2,0,0,0,1,2,0,0,0,0,2,1,0,0,1,1,0,1,0,0,3,0,0
2026-05-08,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,66.6667,33.3333,1,0,2,0,0,0,0,3,0,0,0,0,2,1,0,0,0,3,0,0,0,1,2,0,0
2026-05-11,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,21,90.4762,4.7619,85.7143,1,2,15,1,2,0,4,9,6,2,2,4,8,4,3,0,1,14,4,2,0,0,0,0,21
2026-05-11,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,0.0,100.0,0,1,2,0,0,0,0,2,1,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,3
2026-05-11,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,0.0,100.0,0,1,2,0,0,0,0,1,2,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,3
2026-05-11,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,33.3333,66.6667,0,1,2,0,0,0,1,1,1,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,3
2026-05-13,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,14,100.0,35.7143,64.2857,1,2,8,3,0,0,2,8,3,1,0,0,0,0,14,0,0,0,0,14,0,0,0,0,14
2026-05-13,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,100.0,0.0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
2026-05-13,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,100.0,0.0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
2026-05-13,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,100.0,0.0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
