d0_date,bellguard_r1_cell,bellguard_r1_light,bellguard_r1_score,bellguard_r1_case_key,bellguard_r1_reason,bellguard_r2_cell,bellguard_r2_light,bellguard_r2_score,bellguard_r2_case_key,bellguard_r2_reason,bellguard_r3_cell,bellguard_r3_light,bellguard_r3_score,bellguard_r3_case_key,bellguard_r3_reason,bellguard_green,bellguard_red,bellguard_avg_down,bellguard_count,bellguard_only_count,bellguard_only_codes,date_verdict,overlap_count,overlap_codes,main_dataset
2025-10-01,🟢 산일전기 (062040),GREEN,2,HYBRID_D0_RISK_FILTER|2025-10-01|R1|062040,+3 먼저 / -2 먼저 / +5 도달,🔴 현대글로비스 (086280),RED,0,HYBRID_D0_RISK_FILTER|2025-10-01|R2|086280,+2 먼저 / -3 먼저 / D1 종가 양호 / 점심 양호,🔴 다날 (064260),RED,4,HYBRID_D0_RISK_FILTER|2025-10-01|R3|064260,+3 먼저 / +5 도달 / -5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,-4.065364007634686,3.0,3.0,062040|064260|086280,HYBRID 방어 우세,0.0,,bellguard_1y
2025-10-02,🟢 하이브 (352820),GREEN,7,HYBRID_D0_RISK_FILTER|2025-10-02|R1|352820,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 산일전기 (062040),GREEN,7,HYBRID_D0_RISK_FILTER|2025-10-02|R2|062040,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 다날 (064260),RED,-3,HYBRID_D0_RISK_FILTER|2025-10-02|R3|064260,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,2.0,1.0,-3.1288095607344397,3.0,3.0,062040|064260|352820,V2 공격 우세,0.0,,bellguard_1y
2025-10-10,🟢 POSCO홀딩스 (005490),GREEN,6,HYBRID_D0_RISK_FILTER|2025-10-10|R1|005490,+3 먼저 / -1 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 삼양식품 (003230),RED,-10,HYBRID_D0_RISK_FILTER|2025-10-10|R2|003230,-3 먼저 / -5 도달 / -10 도달,🔴 HJ중공업 (097230),RED,-7,HYBRID_D0_RISK_FILTER|2025-10-10|R3|097230,-3 먼저 / +5 도달 / -5 도달,1.0,2.0,-6.656018618485031,3.0,3.0,003230|005490|097230,둘 다 위험,0.0,,bellguard_1y
2025-10-13,🔴 삼양식품 (003230),RED,-8,HYBRID_D0_RISK_FILTER|2025-10-13|R1|003230,-3 먼저 / -5 도달,🟢 산일전기 (062040),GREEN,7,HYBRID_D0_RISK_FILTER|2025-10-13|R2|062040,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 대한항공 (003490),GREEN,4,HYBRID_D0_RISK_FILTER|2025-10-13|R3|003490,+2 먼저 / 점심 양호,2.0,1.0,-2.4898516118028327,3.0,3.0,003230|003490|062040,HYBRID 방어 우세,0.0,,bellguard_1y
2025-10-14,🔴 삼양식품 (003230),RED,3,HYBRID_D0_RISK_FILTER|2025-10-14|R1|003230,+3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🟢 HJ중공업 (097230),GREEN,7,HYBRID_D0_RISK_FILTER|2025-10-14|R2|097230,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 산일전기 (062040),GREEN,7,HYBRID_D0_RISK_FILTER|2025-10-14|R3|062040,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,2.0,1.0,-2.690233588194191,3.0,3.0,003230|062040|097230,둘 다 양호,0.0,,bellguard_1y
2025-10-15,🔴 다날 (064260),RED,-12,HYBRID_D0_RISK_FILTER|2025-10-15|R1|064260,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 삼양식품 (003230),RED,-10,HYBRID_D0_RISK_FILTER|2025-10-15|R2|003230,-3 먼저 / -5 도달 / D1 종가 -3 이하,🔴 한화비전 (489790),RED,-4,HYBRID_D0_RISK_FILTER|2025-10-15|R3|489790,+1 먼저 / -3 먼저,0.0,3.0,-7.98718169248603,3.0,3.0,003230|064260|489790,V2 공격 우세,0.0,,bellguard_1y
2025-10-16,🟢 카카오 (035720),GREEN,2,HYBRID_D0_RISK_FILTER|2025-10-16|R1|035720,+3 먼저 / -2 먼저 / +5 도달,🔴 삼양식품 (003230),RED,-7,HYBRID_D0_RISK_FILTER|2025-10-16|R2|003230,+1 먼저 / -3 먼저 / -5 도달,🔴 다날 (064260),RED,-12,HYBRID_D0_RISK_FILTER|2025-10-16|R3|064260,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,1.0,2.0,-5.104155198716643,3.0,3.0,003230|035720|064260,V2 공격 우세,0.0,,bellguard_1y
2025-10-17,🟢 카카오 (035720),GREEN,4,HYBRID_D0_RISK_FILTER|2025-10-17|R1|035720,+3 먼저 / -2 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 삼양식품 (003230),GREEN,6,HYBRID_D0_RISK_FILTER|2025-10-17|R2|003230,+3 먼저 / -1 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 달바글로벌 (483650),GREEN,6,HYBRID_D0_RISK_FILTER|2025-10-17|R3|483650,+3 먼저 / -1 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,3.0,0.0,-2.6932085737366207,3.0,3.0,003230|035720|483650,둘 다 양호,0.0,,bellguard_1y
2025-10-20,🔴 삼양식품 (003230),RED,-12,HYBRID_D0_RISK_FILTER|2025-10-20|R1|003230,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 달바글로벌 (483650),GREEN,6,HYBRID_D0_RISK_FILTER|2025-10-20|R2|483650,+3 먼저 / +5 도달 / D1 종가 양호,🔴 두산에너빌리티 (034020),RED,2,HYBRID_D0_RISK_FILTER|2025-10-20|R3|034020,+3 먼저 / -5 도달 / 점심 양호,1.0,2.0,-5.443939862598298,3.0,3.0,003230|034020|483650,둘 다 위험,0.0,,bellguard_1y
2025-10-21,🔴 삼양식품 (003230),RED,-8,HYBRID_D0_RISK_FILTER|2025-10-21|R1|003230,-3 먼저 / -5 도달,🟢 달바글로벌 (483650),GREEN,7,HYBRID_D0_RISK_FILTER|2025-10-21|R2|483650,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟠 코웨이 (021240),ORANGE,-2,HYBRID_D0_RISK_FILTER|2025-10-21|R3|021240,-2 먼저 / D1 종가 양호,1.0,1.0,-2.818466553362701,3.0,3.0,003230|021240|483650,HYBRID 방어 우세,0.0,,bellguard_1y
