input_policy,signal_date,rank_num,stock_code,stock_name,trading_day_age,d0_date,d0_trading_value_proxy_eok,d0_pct_change,d0_volume_vs_20d,d0_upper_shadow_ratio,d0_range_pct,entry_1500_price,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,signal_trading_value_to_1500_eok,signal_rsi14_1500,signal_risk_count,eod_signal_balanced_score
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-20,1,006800,미래에셋증권,10,2026-05-06,17322.39018,19.20341394025604,6.932488681609553,0.273972602739726,19.94535519125684,61300.0,-7.68072289156626,-26.849642004773266,-30.182232346241456,16.794705267399767,,62.50000000000001,,46.75
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-20,2,001440,대한전선,8,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403508,51700.0,-2.819548872180455,-28.492392807745503,-30.88235294117647,20.609268703178348,,63.63636363636363,,47.25
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-20,3,028050,삼성E&A,9,2026-05-07,8969.146424,21.509433962264147,3.342885082092158,0.3866666666666666,12.541806020066891,47250.0,-4.060913705583758,-26.63043478260869,-29.791976225854388,12.743431113373024,,62.50000000000001,,42.0
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-21,1,006800,미래에셋증권,10,2026-05-06,17322.39018,19.20341394025604,6.932488681609553,0.273972602739726,19.94535519125684,66450.0,0.0753012048192669,-20.70405727923628,-24.31662870159453,11.959086860841047,,39.53488372093023,,46.75
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-21,2,001440,대한전선,8,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403508,56300.0,5.827067669172936,-22.130013831258644,-24.732620320855613,22.83462090169071,,58.33333333333333,,47.25
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-21,3,028050,삼성E&A,9,2026-05-07,8969.146424,21.509433962264147,3.342885082092158,0.3866666666666666,12.541806020066891,51300.0,4.162436548223347,-20.34161490683229,-23.774145616641903,14.44842002503582,,57.142857142857146,,42.0
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-22,1,001440,대한전선,10,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403509,54600.0,-2.500000000000002,-24.48132780082988,-27.005347593582883,15.184073307107193,,30.0,,40.75
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-22,2,080220,제주반도체,5,2026-05-15,8896.787193,8.86243386243386,2.259405730986927,0.3777777777777777,25.31645569620253,122200.0,3.735144312393879,48.48116646415552,37.14927048260381,45.14186659606662,,35.393258426966284,,48.0
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-22,3,100790,미래에셋벤처투자,4,2026-05-18,7995.26771,22.768670309653928,2.333876344256005,0.0384615384615384,18.118466898954704,56000.0,-0.5328596802841923,-16.913946587537087,-17.404129793510325,11.922192909285336,,57.142857142857146,,58.25
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-26,1,080220,제주반도체,6,2026-05-15,8896.787193,8.86243386243386,2.259405730986927,0.3777777777777777,25.31645569620253,118800.0,0.0842459983150689,44.34993924665858,33.33333333333333,29.334292058299432,,57.142857142857146,,37.75
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-26,2,100790,미래에셋벤처투자,5,2026-05-18,7995.26771,22.768670309653928,2.333876344256005,0.0384615384615384,18.118466898954704,61000.0,8.92857142857142,-9.495548961424326,-10.029498525073745,36.11722402225854,,64.28571428571428,,72.0
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-26,3,319400,현대무벡스,9,2026-05-12,7332.024775,9.819121447028431,5.422102450595762,0.5545023696682464,27.91005291005291,37700.0,0.8021390374331583,-11.29411764705882,-22.026887280248182,6.96409301208342,,58.33333333333333,,43.0
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-27,1,080220,제주반도체,7,2026-05-15,8896.787193,8.86243386243386,2.259405730986927,0.3777777777777777,25.31645569620253,108100.0,-9.083263246425568,31.3487241798299,21.324354657687984,31.25449864854377,,5.555555555555557,,37.5
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-27,2,010170,대한광통신,1,2026-05-26,8302.655704,14.403292181069949,0.7612672307447833,0.03125,12.955465587044534,27600.0,-0.7194244604316502,-0.7194244604316502,-1.0752688172043,62.71310589804989,,46.15384615384615,,95.0
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-27,3,100790,미래에셋벤처투자,6,2026-05-18,7995.26771,22.768670309653928,2.333876344256005,0.0384615384615384,18.118466898954704,56550.0,-7.446808510638303,-16.09792284866469,-16.5929203539823,18.32853596843476,,55.55555555555556,,57.75
