scenario,seed,max_holdings,trade_days,no_trade_rate,avg_holding_count,cash_utilization_rate,d1_plus1_profit_protect_success_rate,d1_account_return_avg,d1_loss_day_rate
P0_SIGNAL_LIQUIDITY_BASE,300000,3,255,0.0,3.0,47.300828758169935,61.1764705882353,0.19978527058823525,45.490196078431374
P0_SIGNAL_LIQUIDITY_BASE,500000,1,255,0.0,1.0,12.788927843137254,59.21568627450981,0.026768810980392105,47.45098039215686
P0_SIGNAL_LIQUIDITY_BASE,500000,2,255,0.0,2.0,21.26310823529412,62.15686274509804,0.11684790117647056,43.13725490196079
P0_SIGNAL_LIQUIDITY_BASE,500000,3,255,0.0,3.0,28.38049725490196,61.1764705882353,0.11987116235294115,45.490196078431374
P0_SIGNAL_LIQUIDITY_BASE,1000000,1,255,0.0,1.0,6.394463921568627,59.21568627450981,0.013384405490196052,47.45098039215686
P0_SIGNAL_LIQUIDITY_BASE,1000000,2,255,0.0,2.0,10.63155411764706,62.15686274509804,0.05842395058823528,43.13725490196079
P0_SIGNAL_LIQUIDITY_BASE,1000000,3,255,0.0,3.0,14.19024862745098,61.1764705882353,0.059935581176470576,45.490196078431374
BELLGUARD_D0_BASE,100000,1,255,0.0,1.0,33.66061960784313,61.568627450980394,0.3214944470588236,51.76470588235295
BELLGUARD_D0_BASE,100000,2,255,0.0,1.964705882352941,53.58204313725489,62.874251497005986,0.4236908156862745,50.588235294117645
BELLGUARD_D0_BASE,100000,3,255,0.0,2.6588235294117646,65.28402745098039,61.35693215339233,0.5155966509803922,49.411764705882355
BELLGUARD_D0_BASE,200000,1,255,0.0,1.0,16.830309803921566,61.568627450980394,0.1607472235294118,51.76470588235295
BELLGUARD_D0_BASE,200000,2,255,0.0,2.0,30.095994117647056,62.549019607843135,0.18760801176470582,50.98039215686274
BELLGUARD_D0_BASE,200000,3,255,0.0,2.988235294117647,42.22856274509804,60.892388451443566,0.23283699215686277,49.80392156862745
BELLGUARD_D0_BASE,300000,1,255,0.0,1.0,11.220206535947714,61.568627450980394,0.10716481568627453,51.76470588235295
BELLGUARD_D0_BASE,300000,2,255,0.0,2.0,20.06399607843137,62.549019607843135,0.12507200784313724,50.98039215686274
BELLGUARD_D0_BASE,300000,3,255,0.0,3.0,28.28139477124183,60.91503267973856,0.15601237385620914,49.80392156862745
BELLGUARD_D0_BASE,500000,1,255,0.0,1.0,6.732123921568627,61.568627450980394,0.06429888941176472,51.76470588235295
BELLGUARD_D0_BASE,500000,2,255,0.0,2.0,12.038397647058824,62.549019607843135,0.07504320470588234,50.98039215686274
BELLGUARD_D0_BASE,500000,3,255,0.0,3.0,16.9688368627451,60.91503267973856,0.09360742431372546,49.80392156862745
BELLGUARD_D0_BASE,1000000,1,255,0.0,1.0,3.3660619607843136,61.568627450980394,0.03214944470588236,51.76470588235295
BELLGUARD_D0_BASE,1000000,2,255,0.0,2.0,6.019198823529412,62.549019607843135,0.03752160235294117,50.98039215686274
BELLGUARD_D0_BASE,1000000,3,255,0.0,3.0,8.48441843137255,60.91503267973856,0.04680371215686273,49.80392156862745
